model,task,condition,seed,status,end_state,tool_correctness,budget_respected,recall_at_k,mrr,ndcg,attribution,faithfulness,trajectory_judge,actual_turns,tool_call_count,kb_query_calls,predicate_type,error
glm-5.1-cloud,rag-bash-cite-section-for-arrays,without-kb,1,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-cite-section-for-arrays,with-kb,1,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
glm-5.1-cloud,rag-bash-cite-section-for-arrays,with-kb,2,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
glm-5.1-cloud,rag-bash-cite-section-for-arrays,without-kb,2,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-cite-section-for-arrays,without-kb,3,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-cite-section-for-arrays,with-kb,3,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
glm-5.1-cloud,rag-bash-cite-section-for-arrays,without-kb,4,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-cite-section-for-arrays,with-kb,4,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
glm-5.1-cloud,rag-bash-compare-test-bracket,without-kb,1,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-compare-test-bracket,with-kb,1,done,0.0,1.0,1.0,,,,,,,3,3,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-compare-test-bracket,without-kb,2,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-compare-test-bracket,with-kb,2,done,0.0,1.0,1.0,,,,,,,3,3,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-compare-test-bracket,with-kb,3,done,0.0,1.0,1.0,,,,,,,3,3,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-compare-test-bracket,without-kb,3,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-compare-test-bracket,without-kb,4,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-compare-test-bracket,with-kb,4,done,0.0,1.0,1.0,,,,,,,3,3,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,with-kb,1,done,1.0,1.0,1.0,,,,,0.0,,3,3,2,workspace_file_exists,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,without-kb,1,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,without-kb,2,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,with-kb,2,done,1.0,1.0,1.0,,,,,0.0,,4,4,2,workspace_file_exists,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,with-kb,3,done,1.0,1.0,1.0,,,,,0.0,,3,3,2,workspace_file_exists,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,without-kb,3,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,without-kb,4,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_exists,
glm-5.1-cloud,rag-bash-faithful-answer-shopt,with-kb,4,done,1.0,1.0,1.0,,,,,0.0,,3,3,2,workspace_file_exists,
glm-5.1-cloud,rag-bash-for-loop-recall,without-kb,1,done,,0.0,1.0,0.0,0.0,0.0,,,,2,1,0,retrieval_recall,
glm-5.1-cloud,rag-bash-for-loop-recall,with-kb,1,done,,1.0,1.0,0.4,0.10666666666666666,0.0,0.5,,,2,2,2,retrieval_recall,
glm-5.1-cloud,rag-bash-for-loop-recall,without-kb,2,done,,0.0,1.0,0.0,0.0,0.0,,,,1,0,0,retrieval_recall,
glm-5.1-cloud,rag-bash-for-loop-recall,with-kb,2,done,,1.0,1.0,0.4,0.26666666666666666,0.0,0.5,,,2,2,2,retrieval_recall,
glm-5.1-cloud,rag-bash-for-loop-recall,without-kb,3,done,,0.0,1.0,0.0,0.0,0.0,,,,2,2,0,retrieval_recall,
glm-5.1-cloud,rag-bash-for-loop-recall,with-kb,3,done,,1.0,1.0,0.6,0.30666666666666664,0.0,0.5,,,2,3,3,retrieval_recall,
glm-5.1-cloud,rag-bash-for-loop-recall,without-kb,4,done,,0.0,1.0,0.0,0.0,0.0,,,,3,2,0,retrieval_recall,
glm-5.1-cloud,rag-bash-for-loop-recall,with-kb,4,done,,1.0,1.0,0.6,0.44000000000000006,0.0,0.0,,,2,3,3,retrieval_recall,
glm-5.1-cloud,rag-bash-param-expansion-forms,without-kb,1,done,1.0,0.0,1.0,,,,,,1.0,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-param-expansion-forms,with-kb,1,done,1.0,1.0,1.0,,,,,,0.0,4,4,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-param-expansion-forms,without-kb,2,done,1.0,0.0,1.0,,,,,,1.0,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-param-expansion-forms,with-kb,2,done,1.0,1.0,1.0,,,,,,0.0,4,4,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-param-expansion-forms,with-kb,3,done,1.0,1.0,1.0,,,,,,0.0,4,4,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-param-expansion-forms,without-kb,3,done,1.0,0.0,1.0,,,,,,1.0,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-param-expansion-forms,without-kb,4,done,1.0,0.0,1.0,,,,,,0.0,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-param-expansion-forms,with-kb,4,done,1.0,1.0,1.0,,,,,,0.0,4,4,3,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,with-kb,1,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,without-kb,1,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,without-kb,2,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,with-kb,2,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,without-kb,3,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,with-kb,3,done,0.0,1.0,1.0,,,,,,,2,1,1,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,without-kb,4,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
glm-5.1-cloud,rag-bash-redirection-operator,with-kb,4,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,without-kb,1,done,1.0,1.0,1.0,,,,,,,4,3,2,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,with-kb,1,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,with-kb,2,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,without-kb,2,done,1.0,1.0,0.0,,,,,,,4,4,3,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,without-kb,3,done,0.0,0.0,1.0,,,,,,,1,0,0,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,with-kb,3,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,without-kb,4,done,1.0,1.0,0.0,,,,,,,4,4,3,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,with-kb,4,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,with-kb,1,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,without-kb,1,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,with-kb,2,done,1.0,1.0,1.0,,,,,,,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,without-kb,2,done,1.0,1.0,1.0,,,,,,,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,with-kb,3,done,1.0,1.0,1.0,,,,,,,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,without-kb,3,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,with-kb,4,done,1.0,1.0,1.0,,,,,,,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,without-kb,4,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,without-kb,1,done,1.0,1.0,1.0,,,,,,,4,3,2,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,with-kb,1,done,1.0,1.0,1.0,,,,,0.0,,4,3,2,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,with-kb,2,done,1.0,1.0,1.0,,,,,0.0,,3,2,1,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,without-kb,2,done,1.0,1.0,1.0,,,,,,,5,4,3,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,without-kb,3,done,1.0,1.0,0.0,,,,,,,5,5,2,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,with-kb,3,done,1.0,1.0,1.0,,,,,0.0,,3,2,1,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,with-kb,4,done,1.0,1.0,1.0,,,,,0.0,,4,3,2,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,without-kb,4,done,1.0,1.0,1.0,,,,,,,4,3,2,workspace_file_exists,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,without-kb,1,done,,1.0,1.0,0.0,0.0,0.0,0.0,,,4,3,3,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,with-kb,1,done,,1.0,1.0,0.4,0.26666666666666666,0.5087403079104241,0.5,,,2,1,1,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,without-kb,2,done,,1.0,1.0,0.0,0.0,0.0,0.0,,,4,3,3,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,with-kb,2,done,,1.0,1.0,0.4,0.13523809523809524,0.30078518014914984,0.5,,,2,1,1,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,with-kb,3,done,,1.0,1.0,0.4,0.14523809523809522,0.3156484524795145,0.5,,,2,1,1,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,without-kb,3,done,,0.0,1.0,0.0,0.0,0.0,,,,1,0,0,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,without-kb,4,done,,1.0,1.0,0.0,0.0,0.0,0.0,,,3,2,2,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-for-loop-recall,with-kb,4,done,,1.0,1.0,0.4,0.14523809523809522,0.3156484524795145,0.5,,,2,1,1,retrieval_recall,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,without-kb,1,done,0.0,1.0,0.0,,,,,,1.0,6,6,6,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,with-kb,1,done,1.0,1.0,1.0,,,,,,0.0,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,without-kb,2,done,0.0,1.0,0.0,,,,,,1.0,6,6,6,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,with-kb,2,done,1.0,1.0,1.0,,,,,,0.0,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,without-kb,3,done,0.0,1.0,0.0,,,,,,0.0,6,6,6,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,with-kb,3,done,1.0,1.0,1.0,,,,,,1.0,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,without-kb,4,done,0.0,0.0,1.0,,,,,,1.0,1,0,0,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,with-kb,4,done,1.0,1.0,1.0,,,,,,0.0,4,3,2,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-redirection-operator,with-kb,1,done,1.0,1.0,1.0,,,,,,,3,2,1,workspace_file_contains,
gpt-oss-120b-cloud,rag-bash-redirection-operator,without-kb,1,done,1.0,0.0,1.0,,,,,,,2,1,0,workspace_file_contains,
