model,task,category,s1,s2,s3,s4,s5,s6,s7,s8,passes,n
devstral-24b,code-dijkstra-multifile,code,0,0,0,0,0,0,0,0,0,8
devstral-24b,code-expr-parser-fix,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-fibonacci-bug-fix,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-interval-merge-fix,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-lru-cache-trace,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-param-count-analysis,code,0,0,0,0,0,0,0,0,0,8
devstral-24b,code-sample-variance-fix,code,1,0,0,0,0,0,1,0,2,8
devstral-24b,code-topo-sort,code,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-csv-join-revenue-by-region,data,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-duplicate-transaction-count,data,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-inventory-turnover,data,1,1,1,1,1,1,1,1,8,8
devstral-24b,data-json-flatten-top-spender,data,1,0,0,0,0,0,0,0,1,8
devstral-24b,data-jsonl-session-median-duration,data,1,1,1,1,1,1,1,1,8,8
devstral-24b,data-log-parse-p95-latency,data,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-multi-file-weighted-score,data,1,0,0,0,0,0,0,0,1,8
devstral-24b,data-payment-reconciliation,data,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-anomaly-detection-script,multi,0,0,0,0,0,0,0,0,0,8
devstral-24b,multi-config-driven-transform,multi,0,1,0,1,0,0,1,1,4,8
devstral-24b,multi-etl-log-user-join,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-event-session-http-enrich,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-grep-weighted-todo,multi,1,1,0,1,0,1,0,1,5,8
devstral-24b,multi-http-catalog-pricing,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-http-index-aggregate,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-manifest-validate-compute,multi,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-access-log-slow-error-endpoints,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-dept-salary-sum,shell,1,1,1,1,1,1,1,1,8,8
devstral-24b,shell-fragment-reassembly,shell,1,1,1,1,1,1,1,1,8,8
devstral-24b,shell-multifile-dedup-latest,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-sensitive-config-keys,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-session-duration-per-user,shell,1,1,1,1,1,1,1,1,8,8
devstral-24b,shell-top-error-sources,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-tsv-dedup-median-by-dept,shell,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-dijkstra-multifile,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-expr-parser-fix,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-fibonacci-bug-fix,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-interval-merge-fix,code,0,0,0,0,0,0,0,0,0,8
gemma4-12b,code-lru-cache-trace,code,1,0,0,0,0,0,0,0,1,8
gemma4-12b,code-param-count-analysis,code,1,1,1,1,1,1,1,1,8,8
