cell,fusion,alpha,top_k_stage1,rerank,rerank_model,truncation,mode,final_k,query_idx,question,origin_chunk_id,gold_in_stage1_pool,stage1_size,rerank_top_score,rerank_bottom_score,rerank_latency_ms,hit_rank,recall_at_5,mrr10,ndcg_at_10
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,0,Are there any exceptions to the rule that `+=` is undefined in POSIX sh?,01KSHSND66G6AE7M0BECZKREST,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,1,SC2104.md,01KSHSND80A396HJ701A2TB9FW,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,2,How do I determine whether a variable is already defined? Or a function?,01KSHSND029K1S14CP1FHQTEH9,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,3,how to fetch ssh hostkeys and add to known_hosts without interaction,01KSHSND2RCY7CHWM7FA7WZB97,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,4,Why is ${$x} invalid in shell scripts and how to correctly use variable expansion and indirection?,01KSHSND6N5MGRV3JHMRAV4WG0,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,5,SC2286.md,01KSHSND6R2KF0GY78D52GR4BV,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,6,How to perform arithmetic evaluation in Bash using let and (( )) commands,01KSHSNCW876EV9G679ZTBEAB9,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,7,Are there exceptions to the rule that numbers with leading 0 are considered octal in Bash?,01KSHSND860E18852HZDRHQ16Y,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,8,What is the historical relationship between bc and dc in Unix?,01KSHSND44D8XQPG0N023DTMG6,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,9,readline incremental search command history,01KSHSNCP4QVJ5E3899KKDN3KW,1,5,,,,3,1,0.333333,0.500000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,10,"How to use ${@:START:COUNT} for expanding a range of positional parameters in Bash, including negative start values and differences between Bash 4 and older versions?",01KSHSND33D2JNEANE8TKRJBPJ,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,11,how to configure bash to archive command history by month using HISTFILE and date formatting,01KSHSND0579P0E32617QJ5WJ4,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,12,How does the [n]<>word redirection operator open files for both reading and writing in shell scripting?,01KSHSNCQG3AHQD1ZG8MSXQ7D5,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,13,How to disable the warning when a function runs without set -e in an if condition in Bash?,01KSHSND6JVG7A73RM55KQQ7ES,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,14,bash history variables HISTSIZE HISTFILE HISTFILESIZE,01KSHSNCN4E4GQ4JCCB8MF8W9C,1,5,,,,4,1,0.250000,0.430677
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,15,"How to use foo ""$@"" in a shell script to make function's $1 refer to script's $1?",01KSHSND7XV2EPM69M5B27W9HA,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,16,sh history expansion modifiers explanation,01KSHSNCR0046EPDH0CEY7J6V2,1,5,,,,4,1,0.250000,0.430677
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,17,how to use numbers with leading zeros in a bash loop using seq,01KSHSNCYA4WRGCVZ85JEQ8KJV,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,18,Bash loop commands syntax explanation,01KSHSND1B99JABS5DV0BKMXX0,1,5,,,,1,1,1.000000,1.000000
