model,task,seed,flag,detail
devstral-24b,longhaul-fx-invoice-rounding,1,narration,0 structured tool calls across episode
devstral-24b,recovery-mixed-units,1,narration,0 structured tool calls across episode
devstral-24b,spec-invoice-window,1,narration,0 structured tool calls across episode
devstral-24b,spec-shift-payroll,1,narration,0 structured tool calls across episode
devstral-24b,spec-tournament-podium,1,budget_exhausted,terminated_reason=max_turns_reached
gemma4-12b,recovery-moved-records,1,budget_exhausted,terminated_reason=max_turns_reached
qwen3-coder-30b,longhaul-orders-etl-staged,1,budget_exhausted,terminated_reason=max_turns_reached
qwen3-coder-30b,longhaul-sensor-alerts-staged,1,budget_exhausted,terminated_reason=max_turns_reached
qwen3-coder-30b,debug-billing-proration,1,suspicious_pass,passed with 9 calls; other passers' min is 12
devstral-24b,debug-graph-reachability,1,suspicious_pass,passed with 8 calls; other passers' min is 11
gemma4-12b,debug-interval-scheduler,1,suspicious_pass,passed with 9 calls; other passers' min is 12
devstral-24b,debug-token-stats,1,suspicious_pass,passed with 8 calls; other passers' min is 11
qwen3-coder-30b,longhaul-orders-etl-staged,1,thrash,"16 calls vs passing median 6 (>1.5x), still failed"
devstral-24b,longhaul-sensor-alerts-staged,1,suspicious_pass,passed with zero fs_write/shell_exec calls; every other passer used them
gemma4-12b,longhaul-sensor-alerts-staged,1,suspicious_pass,passed with 8 calls; other passers' min is 12
qwen3-coder-30b,longhaul-sensor-alerts-staged,1,thrash,"16 calls vs passing median 10 (>1.5x), still failed"
gemma4-12b,longhaul-vendor-ledger-pagination,1,suspicious_pass,passed with 13 calls; other passers' min is 16
qwen3-coder-30b,recovery-dirty-csv,1,suspicious_pass,passed with zero fs_write/shell_exec calls; every other passer used them
gemma4-12b,spec-freight-rebate,1,suspicious_pass,passed with zero fs_write/shell_exec calls; every other passer used them
gemma4-12b,spec-invoice-window,1,suspicious_pass,passed with zero fs_write/shell_exec calls; every other passer used them
gemma4-12b,spec-shift-payroll,1,suspicious_pass,passed with zero fs_write/shell_exec calls; every other passer used them
devstral-24b,spec-tournament-podium,1,thrash,"10 calls vs passing median 2.5 (>1.5x), still failed"
gemma4-12b,spec-tournament-podium,1,suspicious_pass,passed with zero fs_write/shell_exec calls; every other passer used them
