alpha,k,query_idx,question,origin_chunk_id,hit_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr10,ndcg_at_k
0.0,1,0,Are there any exceptions to the rule that `+=` is undefined in POSIX sh?,01KSHSND66G6AE7M0BECZKREST,0,0,0,0,0,0.000000,0.000000
0.0,1,1,SC2104.md,01KSHSND80A396HJ701A2TB9FW,1,1,1,1,1,1.000000,1.000000
0.0,1,2,How do I determine whether a variable is already defined? Or a function?,01KSHSND029K1S14CP1FHQTEH9,1,1,1,1,1,1.000000,1.000000
0.0,1,3,how to fetch ssh hostkeys and add to known_hosts without interaction,01KSHSND2RCY7CHWM7FA7WZB97,1,1,1,1,1,1.000000,1.000000
0.0,1,4,Why is ${$x} invalid in shell scripts and how to correctly use variable expansion and indirection?,01KSHSND6N5MGRV3JHMRAV4WG0,0,0,0,0,0,0.000000,0.000000
0.0,1,5,SC2286.md,01KSHSND6R2KF0GY78D52GR4BV,1,1,1,1,1,1.000000,1.000000
0.0,1,6,How to perform arithmetic evaluation in Bash using let and (( )) commands,01KSHSNCW876EV9G679ZTBEAB9,1,1,1,1,1,1.000000,1.000000
0.0,1,7,Are there exceptions to the rule that numbers with leading 0 are considered octal in Bash?,01KSHSND860E18852HZDRHQ16Y,0,0,0,0,0,0.000000,0.000000
0.0,1,8,What is the historical relationship between bc and dc in Unix?,01KSHSND44D8XQPG0N023DTMG6,1,1,1,1,1,1.000000,1.000000
0.0,1,9,readline incremental search command history,01KSHSNCP4QVJ5E3899KKDN3KW,3,0,1,1,1,0.333333,0.000000
0.0,1,10,"How to use ${@:START:COUNT} for expanding a range of positional parameters in Bash, including negative start values and differences between Bash 4 and older versions?",01KSHSND33D2JNEANE8TKRJBPJ,1,1,1,1,1,1.000000,1.000000
0.0,1,11,how to configure bash to archive command history by month using HISTFILE and date formatting,01KSHSND0579P0E32617QJ5WJ4,2,0,1,1,1,0.500000,0.000000
0.0,1,12,How does the [n]<>word redirection operator open files for both reading and writing in shell scripting?,01KSHSNCQG3AHQD1ZG8MSXQ7D5,3,0,1,1,1,0.333333,0.000000
0.0,1,13,How to disable the warning when a function runs without set -e in an if condition in Bash?,01KSHSND6JVG7A73RM55KQQ7ES,9,0,0,0,1,0.111111,0.000000
0.0,1,14,bash history variables HISTSIZE HISTFILE HISTFILESIZE,01KSHSNCN4E4GQ4JCCB8MF8W9C,3,0,1,1,1,0.333333,0.000000
0.0,1,15,"How to use foo ""$@"" in a shell script to make function's $1 refer to script's $1?",01KSHSND7XV2EPM69M5B27W9HA,0,0,0,0,0,0.000000,0.000000
0.0,1,16,sh history expansion modifiers explanation,01KSHSNCR0046EPDH0CEY7J6V2,4,0,0,1,1,0.250000,0.000000
0.0,1,17,how to use numbers with leading zeros in a bash loop using seq,01KSHSNCYA4WRGCVZ85JEQ8KJV,2,0,1,1,1,0.500000,0.000000
0.0,1,18,Bash loop commands syntax explanation,01KSHSND1B99JABS5DV0BKMXX0,2,0,1,1,1,0.500000,0.000000
0.0,1,19,readline function manpage name section,01KSHSNCP059MHZR946HT1HQ6V,0,0,0,0,0,0.000000,0.000000
0.0,1,20,how to pass arguments with spaces in bash using arrays,01KSHSND84S923WGQRHDQSF0QC,0,0,0,0,0,0.000000,0.000000
0.0,1,21,How does Bash handle regular expressions with the =~ operator and BASH_REMATCH variable?,01KSHSNCVS9VGHHAEGBPQGTRBM,2,0,1,1,1,0.500000,0.000000
