judge,split,n,gt_pass_rate,judge_pass_rate,accuracy,fpr_on_failures,abstains
glm-5.1-cloud,devstral-24b,54,0.352,0.296,0.944,0.000,0
glm-5.1-cloud,gemma4-12b,56,0.929,0.911,0.982,0.000,0
glm-5.1-cloud,glm-5.1-cloud,19,1.000,1.000,1.000,-,0
glm-5.1-cloud,qwen2.5-coder-32b-q4_k_m,36,0.000,0.182,0.818,0.182,3
glm-5.1-cloud,qwen3-coder-30b,60,0.783,0.717,0.900,0.077,0
glm-5.1-cloud,qwen3-coder-480b-cloud,15,0.933,0.867,0.933,0.000,0
gpt-oss-120b-cloud,devstral-24b,54,0.352,0.259,0.907,0.000,0
gpt-oss-120b-cloud,gemma4-12b,56,0.929,0.875,0.946,0.000,0
gpt-oss-120b-cloud,glm-5.1-cloud,19,1.000,0.947,0.947,-,0
gpt-oss-120b-cloud,qwen2.5-coder-32b-q4_k_m,36,0.000,0.139,0.861,0.139,0
gpt-oss-120b-cloud,qwen3-coder-30b,60,0.783,0.583,0.800,0.000,0
gpt-oss-120b-cloud,qwen3-coder-480b-cloud,15,0.933,0.733,0.800,0.000,0
qwen3-coder-480b-cloud,devstral-24b,54,0.352,0.333,0.833,0.114,0
qwen3-coder-480b-cloud,gemma4-12b,56,0.929,0.893,0.929,0.250,0
qwen3-coder-480b-cloud,glm-5.1-cloud,19,1.000,1.000,1.000,-,0
qwen3-coder-480b-cloud,qwen2.5-coder-32b-q4_k_m,36,0.000,0.265,0.735,0.265,2
qwen3-coder-480b-cloud,qwen3-coder-30b,60,0.783,0.750,0.867,0.231,0
qwen3-coder-480b-cloud,qwen3-coder-480b-cloud,15,0.933,0.933,1.000,0.000,0
