model,condition,seed,faithfulness,end_state,kb_query_calls
glm-5.1-cloud,with-kb,1,0.0,1.0,2
glm-5.1-cloud,without-kb,1,,1.0,0
glm-5.1-cloud,without-kb,2,,1.0,0
glm-5.1-cloud,with-kb,2,0.0,1.0,2
glm-5.1-cloud,with-kb,3,0.0,1.0,2
glm-5.1-cloud,without-kb,3,,1.0,0
glm-5.1-cloud,without-kb,4,,1.0,0
glm-5.1-cloud,with-kb,4,0.0,1.0,2
gpt-oss-120b-cloud,without-kb,1,,1.0,2
gpt-oss-120b-cloud,with-kb,1,0.0,1.0,2
gpt-oss-120b-cloud,with-kb,2,0.0,1.0,1
gpt-oss-120b-cloud,without-kb,2,,1.0,3
gpt-oss-120b-cloud,without-kb,3,,1.0,2
gpt-oss-120b-cloud,with-kb,3,0.0,1.0,1
gpt-oss-120b-cloud,with-kb,4,0.0,1.0,2
gpt-oss-120b-cloud,without-kb,4,,1.0,2
gpt-oss-20b-cloud,with-kb,1,0.0,1.0,1
gpt-oss-20b-cloud,without-kb,1,,1.0,3
gpt-oss-20b-cloud,without-kb,2,,1.0,2
gpt-oss-20b-cloud,with-kb,2,,0.0,1
gpt-oss-20b-cloud,without-kb,3,,0.0,5
gpt-oss-20b-cloud,with-kb,3,0.0,0.0,1
gpt-oss-20b-cloud,with-kb,4,0.0,1.0,1
gpt-oss-20b-cloud,without-kb,4,,1.0,3
llama3.1-8b-q4,with-kb,1,,0.0,0
llama3.1-8b-q4,without-kb,1,,0.0,0
llama3.1-8b-q4,with-kb,2,,0.0,0
llama3.1-8b-q4,without-kb,2,,0.0,0
llama3.1-8b-q4,without-kb,3,,0.0,0
llama3.1-8b-q4,with-kb,3,,0.0,0
llama3.1-8b-q4,without-kb,4,,0.0,0
llama3.1-8b-q4,with-kb,4,,0.0,0
qwen3-14b-q4,without-kb,1,,0.0,0
qwen3-14b-q4,with-kb,1,1.0,1.0,1
qwen3-14b-q4,with-kb,2,1.0,1.0,1
qwen3-14b-q4,without-kb,2,,0.0,0
qwen3-14b-q4,without-kb,3,,0.0,0
qwen3-14b-q4,with-kb,3,1.0,1.0,1
qwen3-14b-q4,with-kb,4,1.0,1.0,1
qwen3-14b-q4,without-kb,4,,0.0,0
