model,task,seed,status,end_state,tool_correctness,budget_respected,trajectory_judge,latency_ms,tokens_in,tokens_out,cost_usd,actual_turns,tool_call_count,terminated_reason,error
glm-5.1-cloud,code-find-and-fix-bug,1,done,1.0,1.0,1.0,,18983,5263,140,,5,4,,
glm-5.1-cloud,code-find-and-fix-bug,2,done,1.0,0.0,1.0,,25327,5295,136,,5,4,,
glm-5.1-cloud,code-find-and-fix-bug,3,done,1.0,1.0,1.0,,22423,5287,148,,5,4,,
glm-5.1-cloud,code-find-and-fix-bug,4,done,1.0,1.0,1.0,,18426,5291,137,,5,4,,
glm-5.1-cloud,code-find-and-fix-bug,5,done,1.0,1.0,1.0,,14478,5263,174,,5,4,,
glm-5.1-cloud,code-find-and-fix-bug,6,done,1.0,1.0,1.0,,23459,5287,136,,5,4,,
glm-5.1-cloud,code-find-and-fix-bug,7,done,1.0,1.0,1.0,,21678,5258,131,,5,4,,
glm-5.1-cloud,code-find-and-fix-bug,8,done,1.0,1.0,1.0,,29464,5298,149,,5,4,,
glm-5.1-cloud,code-read-and-explain,1,done,1.0,1.0,1.0,1.0,16474,2480,183,,3,2,,
glm-5.1-cloud,code-read-and-explain,2,done,1.0,1.0,1.0,1.0,14959,2474,177,,3,2,,
glm-5.1-cloud,code-read-and-explain,3,done,1.0,1.0,1.0,1.0,17966,2472,173,,3,2,,
glm-5.1-cloud,code-read-and-explain,4,done,1.0,1.0,1.0,1.0,15527,2473,164,,3,2,,
glm-5.1-cloud,code-read-and-explain,5,done,1.0,1.0,1.0,1.0,13435,2474,177,,3,2,,
glm-5.1-cloud,code-read-and-explain,6,done,1.0,1.0,1.0,1.0,18163,2474,198,,3,2,,
glm-5.1-cloud,code-read-and-explain,7,done,1.0,1.0,1.0,1.0,12232,2468,175,,3,2,,
glm-5.1-cloud,code-read-and-explain,8,done,1.0,1.0,1.0,1.0,12148,2474,171,,3,2,,
glm-5.1-cloud,code-write-and-execute,1,done,1.0,1.0,1.0,,10075,1535,78,,3,2,,
glm-5.1-cloud,code-write-and-execute,2,done,1.0,1.0,1.0,,25947,1535,93,,3,2,,
glm-5.1-cloud,code-write-and-execute,3,done,1.0,1.0,1.0,,18009,1535,107,,3,2,,
glm-5.1-cloud,code-write-and-execute,4,done,1.0,1.0,1.0,,11733,1535,93,,3,2,,
glm-5.1-cloud,code-write-and-execute,5,done,1.0,1.0,1.0,,14732,1535,87,,3,2,,
glm-5.1-cloud,code-write-and-execute,6,done,1.0,1.0,1.0,,10116,1535,116,,3,2,,
glm-5.1-cloud,code-write-and-execute,7,done,1.0,1.0,1.0,,17676,1535,103,,3,2,,
glm-5.1-cloud,code-write-and-execute,8,done,1.0,1.0,1.0,,19308,1535,94,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,1,done,1.0,1.0,1.0,,11491,2334,92,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,2,done,1.0,1.0,1.0,,10174,2334,93,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,3,done,1.0,1.0,1.0,,9753,2334,94,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,4,done,1.0,1.0,1.0,,9057,2334,94,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,5,done,1.0,1.0,1.0,,9805,2334,94,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,6,done,1.0,1.0,1.0,,18273,2334,93,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,7,done,1.0,1.0,1.0,,8914,2334,93,,3,2,,
glm-5.1-cloud,fs-grep-extract-and-write,8,done,1.0,1.0,1.0,,10306,2334,92,,3,2,,
glm-5.1-cloud,fs-read-and-copy,1,done,1.0,1.0,1.0,,8560,1670,93,,3,2,,
glm-5.1-cloud,fs-read-and-copy,2,done,1.0,1.0,1.0,,14766,1670,81,,3,2,,
glm-5.1-cloud,fs-read-and-copy,3,done,1.0,1.0,1.0,,9165,1670,80,,3,2,,
glm-5.1-cloud,fs-read-and-copy,4,done,1.0,1.0,1.0,,26119,1670,74,,3,2,,
glm-5.1-cloud,fs-read-and-copy,5,done,1.0,1.0,1.0,,18000,1670,95,,3,2,,
glm-5.1-cloud,fs-read-and-copy,6,done,1.0,1.0,1.0,,17158,1670,90,,3,2,,
glm-5.1-cloud,fs-read-and-copy,7,done,1.0,1.0,1.0,,23575,1670,80,,3,2,,
glm-5.1-cloud,fs-read-and-copy,8,done,1.0,1.0,1.0,,12090,1670,108,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,1,done,1.0,1.0,1.0,,26289,1716,105,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,2,done,1.0,1.0,1.0,,10169,1716,111,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,3,done,1.0,1.0,1.0,,15239,1716,124,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,4,done,1.0,1.0,1.0,,11267,1716,110,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,5,done,1.0,1.0,1.0,,23474,1716,86,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,6,done,1.0,1.0,1.0,,21136,1716,97,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,7,done,1.0,1.0,1.0,,11703,1716,103,,3,2,,
glm-5.1-cloud,fs-write-csv-summary,8,done,1.0,1.0,1.0,,18363,1716,111,,3,2,,
glm-5.1-cloud,http-fetch-and-count,1,done,0.0,1.0,1.0,,24315,3960,358,,4,3,,
glm-5.1-cloud,http-fetch-and-count,2,done,0.0,1.0,1.0,,34931,3972,312,,4,3,,
glm-5.1-cloud,http-fetch-and-count,3,done,0.0,1.0,1.0,,13849,3961,297,,4,3,,
glm-5.1-cloud,http-fetch-and-count,4,done,0.0,1.0,1.0,,14024,3960,321,,4,3,,
glm-5.1-cloud,http-fetch-and-count,5,done,0.0,1.0,1.0,,32109,3963,498,,4,3,,
glm-5.1-cloud,http-fetch-and-count,6,done,0.0,1.0,1.0,,15480,3958,323,,4,3,,
glm-5.1-cloud,http-fetch-and-count,7,done,0.0,1.0,1.0,,21978,3966,324,,4,3,,
glm-5.1-cloud,http-fetch-and-count,8,done,0.0,1.0,1.0,,13768,3960,312,,4,3,,
glm-5.1-cloud,http-fetch-and-extract,1,done,0.0,1.0,1.0,,11658,1339,443,,2,1,,
glm-5.1-cloud,http-fetch-and-extract,2,done,0.0,1.0,1.0,,19231,1340,532,,2,1,,
glm-5.1-cloud,http-fetch-and-extract,3,done,0.0,1.0,1.0,,14203,1338,333,,2,1,,
glm-5.1-cloud,http-fetch-and-extract,4,done,0.0,1.0,1.0,,33120,1339,682,,2,1,,
glm-5.1-cloud,http-fetch-and-extract,5,done,0.0,1.0,1.0,,10029,1339,332,,2,1,,
glm-5.1-cloud,http-fetch-and-extract,6,done,0.0,1.0,1.0,,15762,1339,413,,2,1,,
