run_id,experiment,model,model_family,task,category,seed,ground_truth,transcript_chars,n_messages,length_tercile
00c2545731f684402b7b6a20,CODER-BENCH-001,qwen3-coder-30b,qwen,shell-pipeline-extract,shell,1,pass,1518,12,short
00ea358363a8f168ae879596,HARD-BENCH-001,qwen3-coder-30b,qwen,data-duplicate-transaction-count,data,1,pass,3006,11,long
022d4bcf9931e0f540f02291,CODER-BENCH-001,qwen3-coder-30b,qwen,shell-count-lines,shell,2,pass,922,7,short
0585dfcdfa6eeca3dab5b947,HARD-BENCH-002,qwen3-coder-30b,qwen,multi-http-index-aggregate,multi,1,pass,3339,15,long
067b2e1220c71245f4f57875,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,code-param-count-analysis,code,1,pass,2468,7,medium
06a3f11649ee5ec2bd8b2396,HARD-BENCH-002,gemma4-12b,gemma,multi-manifest-validate-compute,multi,1,pass,2893,15,long
076a82c69191c05164422b3c,CODER-BENCH-001,gemma4-12b,gemma,http-fetch-and-extract,http,2,pass,1100,7,short
07c3a47ddbf1c674e13af67f,HARD-BENCH-001,qwen3-coder-30b,qwen,shell-tsv-dedup-median-by-dept,shell,1,pass,7267,17,long
0a2144ae803f2014e0b83b2c,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,http-fetch-and-count,http,1,fail,838,3,short
0b35f592cdad71e5061188f1,HARD-BENCH-002,qwen3-coder-30b,qwen,multi-grep-weighted-todo,multi,1,pass,3772,15,long
11b31de686e44f7c37915f6f,HARD-BENCH-002,qwen3-coder-30b,qwen,code-lru-cache-trace,code,1,pass,2246,9,medium
13c195304e6466f4f219dd03,HARD-BENCH-002,devstral-24b,mistral,multi-anomaly-detection-script,multi,1,fail,1944,7,medium
13d905786d652a93aa0b1aad,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,multi-words-and-hash,multi,1,fail,2181,3,medium
13e9c318ff5de9396fb2b61c,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,shell-pipeline-extract,shell,2,fail,938,3,short
1953520c4d6c2b17afd94612,HARD-BENCH-001,qwen3-coder-30b,qwen,data-csv-join-revenue-by-region,data,1,pass,3079,13,long
19fd5c9d84c6d9be2e7e37b3,HARD-BENCH-001,gemma4-12b,gemma,shell-tsv-dedup-median-by-dept,shell,1,pass,2032,9,medium
1bdc607c8988fb92bb4f2378,HARD-BENCH-001,devstral-24b,mistral,code-param-count-analysis,code,1,fail,2918,5,long
1d66a7af24ea04f0b207a829,HARD-BENCH-002,qwen3-coder-30b,qwen,code-fibonacci-bug-fix,code,1,fail,1367,3,short
1dae7c907372c54d9a693baa,HARD-BENCH-002,qwen3-coder-30b,qwen,code-dijkstra-multifile,code,1,pass,4447,19,long
1e2084af8cfa24778a1833b8,HARD-BENCH-001,devstral-24b,mistral,data-jsonl-session-median-duration,data,1,fail,3165,5,long
1e7aa2682da98b31bbadc53b,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,fs-write-csv-summary,fs,2,fail,864,3,short
1fb96bf1ecf9dd46d7c75c4b,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,code-fibonacci-bug-fix,code,1,pass,3403,13,long
21ca9cc345be28dc8b3cff23,HARD-BENCH-002,devstral-24b,mistral,data-jsonl-session-median-duration,data,1,pass,3260,9,long
2475bfc6a7b7f97e00cdb184,HARD-BENCH-001,devstral-24b,mistral,code-expr-parser-fix,code,1,pass,8198,11,long
2497db50434bebd36263ffa7,CODER-BENCH-001,gemma4-12b,gemma,fs-grep-extract-and-write,fs,1,pass,1008,7,short
26eecd49311af9b393173ff9,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,code-find-and-fix-bug,code,1,fail,974,3,short
2842a8613d8b5bbf58f6506c,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,shell-count-lines,shell,2,fail,850,3,short
2b967fae29c8e920ddb19f31,CODER-BENCH-001,qwen3-coder-30b,qwen,fs-grep-extract-and-write,fs,1,pass,1331,7,short
2c31eaeb3a08701304e34b50,HARD-BENCH-001,devstral-24b,mistral,code-dijkstra-multifile,code,1,fail,4276,5,long
2d27ecfaeca1e500eda46f80,HARD-BENCH-001,devstral-24b,mistral,shell-multifile-dedup-latest,shell,1,pass,2762,9,medium
2da090fc94e76bf0b8c16f60,HARD-BENCH-002,qwen3-coder-30b,qwen,data-payment-reconciliation,data,1,pass,3583,11,long
2f60e34bdc9d24ff70b0adc3,HARD-BENCH-002,devstral-24b,mistral,multi-http-catalog-pricing,multi,1,fail,4462,19,long
2fe09bbe09ea0c44eec3e8f3,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,fs-write-csv-summary,fs,3,fail,864,3,short
30c12744bcd938cd77149e0d,CODER-BENCH-001,gemma4-12b,gemma,code-write-and-execute,code,1,pass,934,7,short
32ac2985beeee7cb36f24a2f,HARD-BENCH-002,gemma4-12b,gemma,shell-top-error-sources,shell,1,pass,2753,9,medium
32e9e2c4f6ef941d01bee00f,HARD-BENCH-001,gemma4-12b,gemma,multi-etl-log-user-join,multi,1,pass,2179,11,medium
34cdd3c71641deaedf3f42ee,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,code-write-and-execute,code,3,fail,857,3,short
3572b09e0a0babc8bcab2452,HARD-BENCH-002,devstral-24b,mistral,code-param-count-analysis,code,1,fail,2189,5,medium
377380a5ae19b25524bc4ec8,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,multi-config-driven-transform,multi,1,pass,2158,11,medium
