model,task,seed,flag,detail
qwen2.5-coder-32b-q4_k_m,code-find-and-fix-bug,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-find-and-fix-bug,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-find-and-fix-bug,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-find-and-fix-bug,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-find-and-fix-bug,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-find-and-fix-bug,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-read-and-explain,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-read-and-explain,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-read-and-explain,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-read-and-explain,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-read-and-explain,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-read-and-explain,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-write-and-execute,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-write-and-execute,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-write-and-execute,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-write-and-execute,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,code-write-and-execute,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,code-write-and-execute,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-grep-extract-and-write,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-grep-extract-and-write,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-grep-extract-and-write,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-grep-extract-and-write,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-grep-extract-and-write,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-grep-extract-and-write,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-read-and-copy,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-read-and-copy,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-read-and-copy,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-read-and-copy,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-read-and-copy,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-read-and-copy,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-write-csv-summary,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-write-csv-summary,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-write-csv-summary,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-write-csv-summary,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,fs-write-csv-summary,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,fs-write-csv-summary,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,http-fetch-and-count,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,http-fetch-and-count,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,http-fetch-and-count,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,http-fetch-and-count,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,http-fetch-and-count,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,http-fetch-and-count,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,http-fetch-and-extract,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,http-fetch-and-extract,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,http-fetch-and-extract,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,http-fetch-and-extract,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,http-fetch-and-extract,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,http-fetch-and-extract,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,multi-db-self-check,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,multi-db-self-check,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,multi-db-self-check,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,multi-db-self-check,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,multi-db-self-check,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,multi-db-self-check,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,multi-words-and-hash,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,multi-words-and-hash,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,multi-words-and-hash,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,multi-words-and-hash,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,multi-words-and-hash,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,multi-words-and-hash,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,shell-count-lines,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,shell-count-lines,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,shell-count-lines,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,shell-count-lines,2,text_emitted,text tool-call pattern on turns [0]
